,,,
Precinct,Donald J. Trump and Michael R. Pence (R),Joseph R. Biden and Kamala D. Harris (D),Jo Jorgensen and Jeremy “Spike” Cohen (L)
1-1,357,59,5
1-3,312,93,10
1-5,684,93,25
1-7,638,89,17
1-9,621,86,14
1-11,258,38,6
1-12,627,108,20
1-14,258,51,7
1-15,842,146,29
1-16,846,129,31
1-17,637,51,14
1-18,537,99,13
1-19,647,82,17
1-20,246,35,11
1-21,383,24,8
1-22,289,27,6
1-23,848,109,23
1-24,405,45,17
1-25,593,90,13
1-26,320,39,9
1-27,622,47,17
2-1,370,17,3
3-1,844,48,14
4-1,874,51,11
6-1,256,17,2
7-1,164,14,2
8-1,108,8,1
9-1,127,5,2
13-1,223,7,3
14-1,565,48,9
14-2,349,9,3
18-1,472,31,9
19-1,341,23,11
22-1,207,32,6
23-1,642,43,19
24-1,432,39,16
26-1,31,3,1
Total,16975,1935,434