Precinct,Trump,Biden,Jorgensen,Pierce ,Write-Ins,Overvotes,Undervotes,Total Ballots Cast
1-1,829,552,50,16,13,1,10,"1,471"
1-2,458,395,41,6,8,0,4,912
1-3,435,415,20,9,10,0,7,896
1-4,204,257,11,2,8,1,3,486
1-5,340,349,18,10,12,0,3,732
1-6,385,437,21,9,4,0,5,861
1-7,188,159,18,5,1,0,2,373
1-8,420,432,33,14,8,1,3,911
1-9,289,202,21,8,7,0,2,529
1-10,359,293,29,10,5,0,3,699
2-1,276,212,8,4,7,0,2,509
2-2,452,291,21,9,6,0,6,785
2-3,508,392,19,5,12,0,8,944
2-4,310,253,7,11,2,0,7,590
2-5,520,396,22,12,9,2,8,969
2-6,"1,235",720,32,24,15,1,19,"2,046"
2-7,678,493,29,15,7,0,4,"1,226"
2-8,111,65,2,3,0,1,1,183
2-9,385,240,22,9,5,1,6,668
2-10,254,108,8,3,4,0,4,381
2-11,408,255,20,10,6,0,3,702
2-12,678,408,35,16,7,0,11,"1,155"
2-13,602,419,21,11,4,1,9,"1,067"
3-1,399,296,15,13,6,0,5,734
3-2,280,207,15,7,3,0,3,515
3-3,283,200,16,9,1,1,6,516
3-4,356,293,11,8,3,1,1,673
3-5,559,381,27,8,3,0,1,979
3-6,538,306,14,11,4,1,3,877
3-7,393,263,10,11,5,1,2,685
3-8,478,293,28,5,4,1,2,811
3-9,820,512,36,11,9,1,5,"1,394"
3-10,432,252,29,10,7,0,3,733
3-11,152,81,7,3,1,0,0,244
3-12,427,244,17,5,4,0,4,701
3-13,661,352,25,8,12,0,0,"1,058"
4-1,108,29,1,0,0,0,0,138
4-2,555,185,18,7,2,0,2,769
4-3,27,1,0,0,0,0,0,28
4-4,626,203,16,7,3,0,3,858
4-5,51,7,3,1,2,0,0,64
4-6,1176,399,18,10,9,1,4,"1,617"
4-7,729,289,28,11,5,0,7,"1,069"
4-8,612,334,25,12,9,0,6,998
4-9,868,358,23,16,7,0,3,"1,275"
4-10,204,48,3,2,0,0,0,257
4-11,66,54,1,3,0,0,0,124
5-1,486,155,12,10,5,0,5,673
5-2,723,330,23,11,5,1,7,"1,100"
5-3,998,328,21,11,9,0,8,"1,375"
5-4,1431,385,30,24,13,1,7,"1,891"
5-5,117,63,3,1,2,0,0,186
6-1,861,129,30,5,12,0,4,"1,041"
6-2,694,104,21,10,3,0,4,836
6-3,712,145,6,8,5,0,11,887
6-4,117,8,0,1,0,0,0,126
6-5,165,15,2,1,2,0,1,186
7-1,77,46,11,2,2,0,0,138
7-2,17,6,0,0,0,0,0,23
7-3,104,39,3,3,1,0,0,150
7-4,265,134,7,5,2,0,0,413
Total,"27,891","15,217","1,063",491,320,18,237,"45,237"